"Company","Title","Location","URL","Source","Status","Notes","ApplicationStatus","Confidence","TrackerFirstSeenBasis"
"Walleye Capital","Quantic – Quantitative Developer Intern (Summer 2027)","Boston, MA","https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679168006","Career page Greenhouse:walleyecapital-external-students","Confirmed official posting","career_page=https://job-boards.greenhouse.io/walleyecapital-external-students | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4679168006 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Position : Quantic – Quantitative Developer Intern (Summer 2027) Location : Boston, MA Please apply to only one opportunity between the Quantitative Developer, Quantitative Researcher and PhD Quantitative Researcher positions with Quantic. If the team finds you could be a potential fit for the other, we will contact you. Firm Overview: Walleye Capital is a ~$16 billion+ multi-strategy investment firm headquartered in New York City, with over 350 employees across five main offices. Founded in 2005 as an options market maker, we have organically grown into a global investment firm specializing in Quant, Fundamental Equities, and Volatility strategies. Our Team Ov...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Walleye Capital","Risk Technology Analyst Intern (Summer 2027)","New York, New York","https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679224006","Career page Greenhouse:walleyecapital-external-students","Confirmed official posting","career_page=https://job-boards.greenhouse.io/walleyecapital-external-students | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4679224006 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Position: Risk Technology Analyst Intern (Summer 2027) Location: New York, NY Firm Overview: Walleye Capital is a ~$16 billion+ multi-strategy investment firm headquartered in New York City, with over 350 employees across five main offices. Founded in 2005 as an options market maker, we have organically grown into a global investment firm specializing in Fundamental Equities, Quant, and Volatility strategies. At Walleye, we continuously innovate by focusing on three core principles: approach, platform, and people. Our approach is to allocate risk capital where we believe there is not only a compelling opportunity, but also a clear ability to define our tangible...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Walleye Capital","Technology Intern (Summer 2027)","New York, New York","https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4681002006","Career page Greenhouse:walleyecapital-external-students","Confirmed official posting","career_page=https://job-boards.greenhouse.io/walleyecapital-external-students | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4681002006 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Position: Technology Intern (Summer 2027) Location: New York, NY Firm Overview: Walleye Capital is a ~$16 billion+ multi-strategy investment firm headquartered in New York City, with over 350 employees across five main offices. Founded in 2005 as an options market maker, we have organically grown into a global investment firm specializing in Fundamental Equities, Quant, and Volatility strategies. At Walleye, we continuously innovate by focusing on three core principles: approach, platform, and people. Our approach is to allocate risk capital where we believe there is not only a compelling opportunity, but also a clear ability to define our tangible edge. We see...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Walleye Capital","Treasury Intern (Summer 2027)","New York, New York","https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4677037006","Career page Greenhouse:walleyecapital-external-students","Confirmed official posting","career_page=https://job-boards.greenhouse.io/walleyecapital-external-students | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4677037006 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Position: Treasury Intern (Summer 2027) Location: New York, NY Firm Overview: Walleye Capital is a ~$16 billion+ multi-strategy investment firm headquartered in New York City, with over 350 employees across five main offices. Founded in 2005 as an options market maker, we have organically grown into a global investment firm specializing in Fundamental Equities, Quant, and Volatility strategies. At Walleye, we continuously innovate by focusing on three core principles: approach, platform, and people. Our approach is to allocate risk capital where we believe there is not only a compelling opportunity, but also a clear ability to define our tangible edge. We seek ...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Walleye Capital","Volatility Trading Developer Intern (Summer 2027)","New York, New York","https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679434006","Career page Greenhouse:walleyecapital-external-students","Confirmed official posting","career_page=https://job-boards.greenhouse.io/walleyecapital-external-students | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4679434006 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Position: Volatility Trading Developer Intern (Summer 2027) Location: New York, NY Firm Overview: Walleye Capital is a ~$16 billion+ multi-strategy investment firm headquartered in New York City, with over 350 employees across five main offices. Founded in 2005 as an options market maker, we have organically grown into a global investment firm specializing in Fundamental Equities, Quant, and Volatility strategies. At Walleye, we continuously innovate by focusing on three core principles: approach, platform, and people. Our approach is to allocate risk capital where we believe there is not only a compelling opportunity, but also a clear ability to define our tan...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Warburg Pincus","Berlin Investing - Internship","Berlin","https://job-boards.greenhouse.io/warburgpincusllc/jobs/4980971008","Career page Greenhouse:warburgpincusllc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/warburgpincusllc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4980971008 | internship timing not stated in title | Warburg Pincus LLC, a global growth investor, is offering an internship opportunity at their Berlin office. The internship will last approximately three months and provides a valuable learning experience within the Investment Team. As an Intern, you will work in a dynamic and hands-on environment alongside experienced professionals. Responsibilities: - Support the investment team in various tasks, including sourcing, identifying, and analyzing investment opportunities. - Assist in due diligence processes, company analyses, financial modeling, and market studies. - Prepare investment recommendations for the investment committee. - Collaborate closely with management to contribute to the development of po...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Wells Fargo","2027 CIB Markets - Summer Internship, Early Careers","Charlotte, NC; Houston, TX; New York, NY; California posting also available","https://www.wellsfargojobs.com/en/university-programs/","Official early careers page","Official broad program; check currently open locations","Wells Fargo early careers page lists 2027 CIB Markets and other Summer 2027 internships.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Wells Fargo","2027 Summer Internship, Early Careers - CIB Commercial Real Estate","New York, NY; Charlotte, NC; Chicago, IL; Dallas, TX","https://www.wellsfargojobs.com/fr/jobs/r-511357/2027-summer-internship-early-careers-cib-commercial-real-estate/","Official careers page","Confirmed official posting","Official Wells Fargo early careers posting for 2027 Commercial Real Estate summer analyst internship.","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Wells Fargo","2027 Summer Internship, Early Careers - Corporate & Investment Banking COO","Charlotte, NC","https://www.wellsfargojobs.com/en/jobs/r-548718/2027-summer-internship-early-careers-corporate-investment-banking-chief-operating-office-coo/","Official careers page","Confirmed official posting","Official Wells Fargo early careers posting, published June 2026.","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Wells Fargo","2027 Summer Internship, Early Careers - Corporate Banking","Charlotte, NC; New York, NY","https://www.wellsfargojobs.com/fr/jobs/r-512832/2027-summer-internship-early-careers-corporate-banking/","Official careers page","Confirmed official posting","Official Wells Fargo early careers posting for 2027 Corporate Banking summer analyst internship.","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Wells Fargo","2027 Summer Internship, Early Careers - Investment Banking (Houston)","Houston, TX","https://www.wellsfargojobs.com/fr-ca/jobs/r-507805/2027-summer-internship-early-careers-investment-banking-houston/","Official careers page","Confirmed official posting","Official Wells Fargo early careers posting for 2027 Investment Banking summer analyst internship.","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Wincent","Quantitative Research Internship - Quant Research/Trading - Starting Summer 2027","Bratislava","https://jobs.ashbyhq.com/wincent/984bf12c-8d80-431f-9789-04a9739cfc99","Ashby:wincent","Confirmed official posting","internship timing: Summer 2027; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"WorldQuant","Data Science Intern","Beijing OR Shanghai","https://job-boards.greenhouse.io/worldquant/jobs/4069460006","Career page Greenhouse:worldquant","Confirmed official posting","career_page=https://job-boards.greenhouse.io/worldquant | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4069460006 | internship timing not stated in title | WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventio...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"WorldQuant","Quantitative Project Management Intern","Old Greenwich","https://job-boards.greenhouse.io/worldquant/jobs/4693282006","Career page Greenhouse:worldquant","Confirmed official posting","career_page=https://job-boards.greenhouse.io/worldquant | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4693282006 | internship timing not stated in title; graduation eligibility mentions: 2026 | WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employee...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"WorldQuant","Quantitative Research Intern","Beijing OR Shanghai","https://job-boards.greenhouse.io/worldquant/jobs/4084570006","Career page Greenhouse:worldquant","Confirmed official posting","career_page=https://job-boards.greenhouse.io/worldquant | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4084570006 | internship timing not stated in title; graduation eligibility mentions: 2026, 2027 | WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Em...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"WorldQuant","Quantitative Research Intern (July/August to December 2026)","Singapore","https://job-boards.greenhouse.io/worldquant/jobs/4314066006","Career page Greenhouse:worldquant","Confirmed official posting","career_page=https://job-boards.greenhouse.io/worldquant | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4314066006 | internship timing not stated in title | WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventio...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"WorldQuant","Quantitative Research Intern (LLMs & AI Agents)","Hanoi or Ho Chi Minh City","https://job-boards.greenhouse.io/worldquant/jobs/4434997006","Career page Greenhouse:worldquant","Confirmed official posting","career_page=https://job-boards.greenhouse.io/worldquant | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4434997006 | internship timing not stated in title | WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventio...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"WorldQuant","Software Engineer Intern","Budapest","https://job-boards.greenhouse.io/worldquant/jobs/4655484006","Career page Greenhouse:worldquant","Confirmed official posting","career_page=https://job-boards.greenhouse.io/worldquant | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4655484006 | internship timing not stated in title | WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventio...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"WorldQuant","Software Engineer Intern","Hanoi","https://job-boards.greenhouse.io/worldquant/jobs/4652485006","Career page Greenhouse:worldquant","Confirmed official posting","career_page=https://job-boards.greenhouse.io/worldquant | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4652485006 | internship timing not stated in title | WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventio...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"XTX Markets","AI Research Internship - XTY Labs","New York","https://job-boards.greenhouse.io/xtxmarketstechnologies/jobs/6274458003","Career page Greenhouse:xtxmarketstechnologies","Confirmed official posting","career_page=https://www.xtxmarkets.com/careers/ | company_wrapper=https://www.xtxmarkets.com/careers/job?gh_jid=6274458003 | internship timing not stated in title | The Firm XTX Markets is a leading algorithmic trading firm which uses state-of-the-art machine learning technology to produce price forecasts for over 50,000 financial instruments across equities, fixed income, currencies, commodities and crypto. It uses those forecasts to trade on exchanges and alternative trading venues, and to offer differentiated liquidity directly to clients worldwide. The firm trades over $250bn a day across 35 countries and has over 250 employees based in London, New York, Singapore, Paris, Bristol, Mumbai, Yerevan and Kajaani. We leverage the talent of the people who work here, modern computational techniques and state-of-the-art research infrastructure to analyse large data sets across markets quickl...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
